id	file	result	measured
p278	figs/pcb.png	keep	n95=94 white=0.00 soft=0.099 strong=0.186
p282	Doc/2023-05-04_DIV_Case_Shot_Small.jpg	keep	n95=94 white=0.00 soft=0.100 strong=0.072
p282	Doc/2023-06-05_DIV_Case_Shot_both_Small.jpg	keep	n95=154 white=0.00 soft=0.126 strong=0.107
p283	img/3340_back.jpeg	keep	n95=313 white=0.00 soft=0.114 strong=0.131
p283	img/3340_front.jpeg	keep	n95=140 white=0.00 soft=0.121 strong=0.126
p283	img/pcb_back.png	keep	n95=72 white=0.00 soft=0.086 strong=0.233
p283	img/pcb_front.png	keep	n95=69 white=0.00 soft=0.101 strong=0.227
p284	teletype.jpg	keep	n95=21 white=0.47 soft=0.028 strong=0.040
p29	images/0402-soldered.jpg	keep	n95=205 white=0.02 soft=0.163 strong=0.057
p29	images/0402.jpg	keep	n95=47 white=0.00 soft=0.204 strong=0.029
p29	images/additional-resistors.png	keep	n95=223 white=0.01 soft=0.163 strong=0.096
p29	images/balanced.png	drop	flat graphic n95=7 white=0.92 soft=0.165 strong=0.070
p29	images/blown-transistor.jpg	keep	n95=160 white=0.01 soft=0.095 strong=0.052
p29	images/bodge-vdd.jpg	keep	n95=202 white=0.03 soft=0.179 strong=0.077
p29	images/channel-outputs.png	drop	flat graphic n95=22 white=0.83 soft=0.080 strong=0.136
p29	images/connector-main.png	drop	flat graphic n95=9 white=0.86 soft=0.160 strong=0.100
p29	images/cue-mix.png	drop	flat graphic n95=29 white=0.85 soft=0.095 strong=0.106
p29	images/cue.png	drop	flat graphic n95=21 white=0.88 soft=0.036 strong=0.093
p29	images/fader.png	drop	flat graphic n95=7 white=0.93 soft=0.093 strong=0.067
p29	images/isolator-buffers.png	drop	flat graphic n95=25 white=0.85 soft=0.035 strong=0.126
p29	images/isolator.png	drop	flat graphic n95=12 white=0.87 soft=0.042 strong=0.106
p29	images/missing-vdd.png	drop	flat graphic n95=22 white=0.83 soft=0.035 strong=0.103
p29	images/mixer.jpg	keep	n95=264 white=0.01 soft=0.118 strong=0.106
p29	images/mixer.png	keep	n95=265 white=0.01 soft=0.118 strong=0.106
p29	images/opa.png	drop	flat graphic n95=5 white=0.94 soft=0.023 strong=0.058
p29	images/plcc.jpg	keep	n95=69 white=0.01 soft=0.057 strong=0.030
p29	images/psu.jpg	keep	n95=117 white=0.06 soft=0.126 strong=0.096
p29	images/short-pcb.jpg	keep	n95=209 white=0.02 soft=0.139 strong=0.090
p29	images/summer.png	drop	flat graphic n95=14 white=0.90 soft=0.101 strong=0.081
p29	images/transistor-pins.png	drop	flat graphic n95=9 white=0.92 soft=0.211 strong=0.069
p29	images/transistor.png	drop	flat graphic n95=18 white=0.87 soft=0.016 strong=0.111
p29	images/unassembled-smd.png	drop	flat graphic n95=34 white=0.00 soft=0.065 strong=0.106
p29	images/vu.png	drop	flat graphic n95=15 white=0.88 soft=0.037 strong=0.088
p29	images/xone92.png	drop	flat graphic n95=14 white=0.76 soft=0.028 strong=0.187
p294	images/both_parts.jpg	keep	n95=214 white=0.02 soft=0.145 strong=0.067
p294	images/front_pcb.JPG	keep	n95=244 white=0.00 soft=0.115 strong=0.219
p294	images/in_rack.jpg	keep	n95=564 white=0.04 soft=0.166 strong=0.132
p294	images/main_pcb.JPG	keep	n95=214 white=0.00 soft=0.118 strong=0.213
p294	images/panel.JPG	keep	n95=58 white=0.05 soft=0.180 strong=0.170
p294	images/side.jpg	keep	n95=130 white=0.04 soft=0.141 strong=0.039
p295	candelabra-top_pcb.jpg	keep	n95=25 white=0.27 soft=0.034 strong=0.131
p295	candelabra_bb.jpg	keep	n95=59 white=0.27 soft=0.154 strong=0.238
p295	candelabra_pcb.jpg	keep	n95=225 white=0.12 soft=0.104 strong=0.238
p295	jlc-pcbway-sidebyside.jpg	keep	n95=189 white=0.00 soft=0.178 strong=0.140
p296	portcullis-top_pcb.jpg	keep	n95=34 white=0.22 soft=0.054 strong=0.126
p296	portcullis_bb.jpg	keep	n95=86 white=0.26 soft=0.156 strong=0.232
p296	portcullis_pcb.jpg	keep	n95=311 white=0.09 soft=0.103 strong=0.240
p297	eurorack-psu-pcb.png	drop	flat graphic n95=43 white=0.10 soft=0.053 strong=0.148
p298	pico-dco-soldered.jpg	keep	n95=598 white=0.00 soft=0.159 strong=0.209
p298	pico-dco.png	drop	flat graphic n95=3 white=0.91 soft=0.019 strong=0.095
p299	polykit-vco-1.png	drop	flat graphic n95=5 white=0.95 soft=0.081 strong=0.055
p300	img/exits 3d.jpg	keep	n95=23 white=0.01 soft=0.014 strong=0.046
p300	img/exits btm 3d.jpg	keep	n95=19 white=0.00 soft=0.014 strong=0.040
p300	img/exits proto.jpg	keep	n95=41 white=0.00 soft=0.190 strong=0.165
p300	img/exits top 3d.jpg	keep	n95=26 white=0.01 soft=0.021 strong=0.052
p301	images/example.jpg	keep	n95=287 white=0.00 soft=0.206 strong=0.120
p301	images/linearpowerboard.jpg	keep	n95=90 white=0.00 soft=0.232 strong=0.072
p303	audiobrd.png	keep	n95=179 white=0.36 soft=0.112 strong=0.257
p303	cvbrd.png	drop	flat graphic n95=145 white=0.50 soft=0.096 strong=0.242
