repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 3	7	7	collection	both	4IO.brd, JTAG Passthrough.brd, LEDDistortionV2.brd, Melody.brd, ScaleOffset-R3.brd, SimpleTrigger.brd, SonicScrewdriver-R3.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 5	8	8	collection	both	CVSummer.brd, CodecDelay.brd, Envelope.brd, LFO.brd, TuesdayR3.brd, TuesdayR3_JIG.brd, VCAFront.brd, Wasp.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 6	6	6	collection	both	ClockMaster.brd, EnvFollower.brd, Envelope-R2.brd, SimpleMasterClock.brd, VCA-R2.brd, Wobbler-R2.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 8 - Second Production Run	6	6	collection	both	AddMixShift.brd, ESPDrum.brd, Edgecutter.brd, StereoOutputBoard.brd, TuesdayR4.brd, Wobbler_Rev1.brd	
VincentPeters/Diy-Synth-Eurorack	MIXER/nickajeglin - Mixer	3	3	collection	both	mix.kicad_pcb, simplemix.kicad_pcb, simplemixsmall.kicad_pcb	
bastl-instruments/bastlSchematics	.	4	4	collection	SMD	connector2.brd, hendrikson_1_1.brd, knitRider_T_1_4_redukce led.brd, knitRider_exp_1_1.brd	
little-scale/eurorack	4000-series	4	4	collection	THT	4022_counter.brd, 4024_bin_counter.brd, 4028_bcd.brd, 4093_quad_lfo.brd	
minisystem/860	.	7	4	collection	SMD	860.kicad_pcb, 860_backplane.kicad_pcb, 860_backplane_2.kicad_pcb, 860_panelized.kicad_pcb, _autosave-860_backplane.kicad_pcb, _autosave-860_panelized.kicad_pcb, no_future.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/Arduino VCO	4	4	collection	SMD	HAGIWO Arduino VCO 2Op FM.kicad_pcb, HAGIWO Arduino VCO Additive.kicad_pcb, HAGIWO Arduino VCO Chord.kicad_pcb, Arduino VCO Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/YuSynth/Improved Steiner VCF	3	3	collection	SMD	YuSynth Improved Steiner VCF Control.kicad_pcb, Improved Steiner VCF Front.kicad_pcb, YuSynth Improved Steiner VCF Main.kicad_pcb	
nickajeglin/Eurorack-pcbs	Mixer	3	3	collection	both	mix.kicad_pcb, simplemix.kicad_pcb, simplemixsmall.kicad_pcb	
niektb/sluisbrinkie-eurorack-published	Andes/Hardware/andes_8hp	4	3	collection	SMD	RP2350_80QFN_minimal.kicad_pcb, andes.kicad_pcb, front_pcb.kicad_pcb, frontpanel.kicad_pcb	
poetaster/sluisbrinkie-eurorack-published	Andes/Hardware/andes_8hp	4	3	collection	SMD	RP2350_80QFN_minimal.kicad_pcb, andes.kicad_pcb, front_pcb.kicad_pcb, frontpanel.kicad_pcb	
todbot/TrinketTouringMachine	.	7	6	collection	both	TrinketTrigger.brd, blank-panel-4hp.brd, touringmach0.brd, touringmach0_front.brd, touringmach1.brd, touringmach2.brd, touringmach3.brd	
AudioMorphology/Europi	.	8	3	mixed:revisions+collection	both	europi_main.kicad_pcb, europi_main_frontpanel.kicad_pcb, europi_main_frontpanel.kicad_pcb, europi_main_v2.kicad_pcb, midi_minion.kicad_pcb, midi_minion_frontpanel.kicad_pcb, minion.kicad_pcb, minion_frontpanel.kicad_pcb	
ThisIsNotRocketScience/Eurorack-Modules	.	10	9	mixed:revisions+collection	both	KeyChain.brd, BigBus_Error_rev2.brd, TINRS - Edgecutter (first batch).brd, TINRS - Edgecutter r2 (first bodge).brd, TINRS - Tuesday (second batch).brd, TINRS - Tuesday (third batch).brd, TINRS - Wobbler (first batch).brd, TINRS - Wobbler (second batch).brd, TINRS - Wobbler (third batch).brd	BigBus_Error.brd
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 10	7	6	mixed:revisions+collection	both	CalibratorDevice.brd, GateCVBooster.brd, LabPower.brd, TheRug-Andabil-R2-prerel.brd, TheRug-Andabil-R2.brd, TheRug.brd	TheRug-Andabil.brd
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 7(post Superbooth)	15	12	mixed:revisions+collection	both	1hp_blank.brd, 2hp_blank.brd, 4hp_blank.brd, BigBus.brd, BigFish_Rev2.brd, DroneBoard.brd, Edgecutter.brd, FinalEffect.brd, LineOut.brd, MIDICV.brd, RackSide.brd, Wobbler_Rev1.brd	BigFish.brd, BigFish_Rev1.brd, Wobbler.brd
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 9	20	12	mixed:revisions+collection	both	DelayExperiments_Rev2.brd, DoubleLineInModuel.brd, KeyboardController_r3.brd, KeyboardPower.brd, KeyboardSidepanel.brd, KeyboardSidepanel_stack2_r2.brd, LineOut&Headphone_Rev2.brd, RectangularThing R2.brd, RectangularThing-LEDs.brd, RectangularThing-SOICs-TWEAKS-2.brd, RectangularThing-SOICs-TWEAKS-3.brd, RectangularThing-SOICs-TWEAKS.brd, RectangularThing-SOICs.brd, SubClockFix.brd	DelayExperiments.brd, KeyboardController.brd, KeyboardController_r2.brd, KeyboardSidepanel_stack2.brd, LineOut&Headphone.brd, RectangularThing.brd
